Data Label,Subsystem,Measurement Location,Measured Parameter,Description,Units
Elec_EnergyLights1stFloorA,Lighting,Multiple,Energy_Electrical,"Cumulative energy consumption by a subset of lighting on first floor from midnight; includes living room, hallway, and bedroom 4.  ",Wh
Elec_EnergyLights1stFloorB,Lighting,Multiple,Energy_Electrical,"Cumulative energy consumption by a subset of lighting on first floor from midnight; includes hallway, bathroom, kitchen, and dining room",Wh
Elec_EnergyLightsBasement,Lighting,Basement,Energy_Electrical,Cumulative energy consumption from midnight by lights activated in basement,Wh
Elec_EnergyLightsAttic,Lighting,Attic,Energy_Electrical,Cumulative energy consumption from midnight by lights activated in attic,Wh
Elec_PowerLightsBasementStair,Lighting,Basement,Power_Electrical,Instantaneous power used by lights over basement stairs,W
Elec_PowerLights2ndFloor,Lighting,Bath2,Power_Electrical,Instantaneous power consumption of lighting in bathroom 2 ,W
Elec_PowerLights1stFloorA,Lighting,Multiple,Power_Electrical,"Instantaneous power consumption by a subset of lighting on first floor from midnight; includes living room, hallway, and bedroom 4.  ",W
Elec_PowerLights1stFloorB,Lighting,Multiple,Power_Electrical,"Instantaneous power consumption by a subset of lighting on first floor from midnight; includes hallway, bathroom, kitchen, and dining room",W
Elec_PowerLightsBasement,Lighting,Basement,Power_Electrical,Instantaneous power consumption by lights activated in basement,W
Elec_PowerLightsAttic,Lighting,Attic,Power_Electrical,Instantaneous power consumption by lights activated in attic,W
Elec_EnergyChildBDownstairs,Loads,Dining Room,Energy_Thermal,Cumulative heat energy given off from midnight by emulator of child B in the dining room,Wh
Elec_EnergyChildADownstairs,Loads,Living Room,Energy_Thermal,Cumulative heat energy given off from midnight by emulator of child A in the living room,Wh
Elec_EnergyParentAUpstairs,Loads,Master Bedroom,Energy_Thermal,Cumulative heat energy given off from midnight by emulator of parent A in the master bedroom ,Wh
Elec_EnergyChildAUpstairs,Loads,Bedroom2,Energy_Thermal,Cumulative heat energy given off from midnight by emulator of child A in bedroom 2,Wh
Elec_EnergyChildBUpstairs,Loads,Bedroom3,Energy_Thermal,Cumulative heat energy given off from midnight by emulator of child B in bedroom 3,Wh
Elec_EnergyParentBUpstairs,Loads,Master Bedroom,Energy_Thermal,Cumulative heat energy given off from midnight by emulator of parent B in master bedroom ,Wh
Elec_EnergyParentBDownstairs,Loads,Dining Room,Energy_Thermal,Cumulative heat energy given off from midnight by emulator of parent B in dining room ,Wh
Elec_EnergyParentADownstairs,Loads,Kitchen,Energy_Thermal,Cumulative heat energy given off from midnight by emulator of parent A in the kitchen,Wh
Elec_PowerChildBDownstairs,Loads,Dining Room,Power_Thermal,Instantaneous power consumption by emulator of child B in the dining room,W
Elec_PowerChildADownstairs,Loads,Living Room,Power_Thermal,Instantaneous power consumption by emulator of child A in the living room,W
Elec_PowerParentAUpstairs,Loads,Master Bedroom,Power_Thermal,Instantaneous power consumption by emulator of parent A in the master bedroom ,W
Elec_PowerChildAUpstairs,Loads,Bedroom2,Power_Thermal,Instantaneous power consumption by emulator of child A in bedroom 2,W
Elec_PowerChildBUpstairs,Loads,Bedroom3,Power_Thermal,Instantaneous power consumption by emulator of child B in bedroom 3,W
Elec_PowerParentBUpstairs,Loads,Master Bedroom,Power_Thermal,Instantaneous power consumption by emulator of parent B in master bedroom ,W
Elec_PowerParentBDownstairs,Loads,Dining Room,Power_Thermal,Instantaneous power consumption by emulator of parent B in dining room ,W
Elec_PowerParentADownstairs,Loads,Kitchen,Power_Thermal,Instantaneous power consumption by emulator of parent A in the kitchen,W
Load_1stFloorLightsEnergyUsage,Loads,Multiple,Energy_Electrical,Cumulative energy consumption starting at midnight by lights on first floor,Wh
Load_1stFloorLightsPowerUsage,Loads,Multiple,Power_Electrical,Instantaneous power consumption by lights on first floor ,W
Load_1stFloorSensHeatEnergyUsage,Loads,Multiple,Energy_Thermal,Cumulative energy consumption starting at midnight by sensible heat generators on first floor,Wh
Load_1stFloorSensHeatPowerUsage,Loads,Multiple,Power_Thermal,Instantaneous power consumption by sensible heat emulators on first floor ,W
Load_2ndFloorLightsEnergyUsage,Loads,Multiple,Energy_Electrical,Cumulative energy consumption starting at midnight by lights on second floor,Wh
Load_2ndFloorLightsPowerUsage,Loads,Multiple,Power_Electrical,Instantaneous power consumption by lights on second floor ,W
Load_2ndFloorSensHeatEnergyUsage,Loads,Multiple,Energy_Thermal,Cumulative energy consumption starting at midnight by sensible heat generators on second floor,Wh
Load_2ndFloorSensHeatPowerUsage,Loads,Multiple,Power_Thermal,Instantaneous power consumption by sensible heat emulators on second floor ,W
Load_BasementPlugLoadsEnergyUsage,Loads ,Basement,Energy_Electrical,Cumulative energy consumption starting at midnight by plug loads in basement,Wh
Load_BasementPlugLoadsPowerUsage,Loads ,Basement,Power_Electrical,Instantaneous power consumption by plug loads in basement,W
Load_BR2PlugLoadsEnergyUsage,Loads,Bedroom2,Energy_Electrical,Cumulative energy consumption starting at midnight by plug loads in bedroom 2,Wh
Load_BR2PlugLoadsPowerUsage,Loads,Bedroom2,Power_Electrical,Instantaneous power consumption by plug loads in bedroom 2,W
Load_BR3PlugLoadsEnergyUsage,Loads,Bedroom3,Energy_Electrical,Cumulative energy consumption starting at midnight by plug loads in bedroom 3,Wh
Load_BR3PlugLoadsPowerUsage,Loads,Bedroom3,Power_Electrical,Instantaneous power consumption by plug loads in bedroom 3,W
Load_BR4PlugLoadsEnergyUsage,Loads,Bedroom4,Energy_Electrical,Cumulative energy consumption starting at midnight by plug loads in bedroom 4,Wh
Load_BR4PlugLoadsPowerUsage,Loads,Bedroom4,Power_Electrical,Instantaneous power consumption by plug loads in bedroom 4,W
Load_ClothesWasherEnergywithStandby,Loads ,Utility,Energy_Electrical,Cumulative energy consumption starting at midnight by clothes washer,Wh
Load_ClothesWasherPowerWithStandby,Loads,Utility,Power_Electrical,Instantaneous power consumption by clothes washer,W
Load_DryerEnergyTotal,Loads,Utility,Energy_Electrical,Cumulative energy consumption starting at midnight by dryer,Wh
Load_DryerPowerTotal,Loads,Utility,Power_Electrical,Instantaneous power consumption by dryer,W
Load_RefrigeratorTemp,Loads,Kitchen,Temp_Air,Instantaneous temperature within refrigerator compartment,°C
Load_KPlugLoadsEnergyUsage,Loads,Kitchen,Energy_Electrical,Cumulative energy consumption starting at midnight by plug loads in kitchen,Wh
Load_KPlugLoadsPowerUsage,Loads,Kitchen,Power_Electrical,Instantaneous power consumption by plug loads in kitchen ,W
Load_LatentHeatEnergyUsage,Loads,Kitchen,Energy_Thermal,Cumulative energy consumption starting at midnight by moisture generators,Wh
Load_LatentHeatPowerUsage,Loads,Kitchen,Power_Thermal,Instantaneous power consumption by moisture generator ,W
Load_LatentHeatWaterVolume,Loads,Kitchen,Flow_Water,Cumulative volume of water injected into space by humidifier to simulate moisture addition by occupant behavior,Gallons
Load_LRPlugLoadsEnergyUsage,Loads,Living Room,Energy_Electrical,Cumulative energy consumption starting at midnight by plug loads in living room,Wh
Load_LRPlugLoadsPowerUsage,Loads,Living Room,Power_Electrical,Instantaneous power consumption by plug loads in living room ,W
Load_MBRPlugLoadsEnergyUsage,Loads,Master Bedroom,Energy_Electrical,Cumulative energy consumption starting at midnight by plug loads in master bedroom,Wh
Load_MBRPlugLoadsPowerUsage,Loads,Master Bedroom,Power_Electrical,Instantaneous power consumption by plug loads in master bedroom,W
Load_MicrowaveEnergywithStandby,Loads ,Kitchen,Energy_Electrical,Cumulative energy consumption starting at midnight by microwave oven,Wh
Load_MicrowavePowerWithStandby,Loads,Kitchen,Power_Electrical,Instantaneous power consumption by microwave oven,W
Load_OvenEnergyTotal,Loads,Kitchen,Energy_Electrical,Cumulative energy consumption starting at midnight by oven,Wh
Load_OvenPowerTotal,Loads,Kitchen,Power_Electrical,Instantaneous power consumption by oven,W
Load_RefrigeratorEnergywithStandby,Loads ,Kitchen,Energy_Electrical,Cumulative energy consumption starting at midnight by refrigerator,Wh
Load_RefrigeratorPowerWithStandby,Loads,Kitchen,Power_Electrical,Instantaneous power consumption by refrigerator,W
Load_StatusApplianceCooktop,Loads,Kitchen,Status_OnOff,"Number to indicate whether cooktop is activated (1: Yes, O: No)",
Load_StatusApplianceDishwasher,Loads,Kitchen,Status_OnOff,"Number to indicate whether dishwasher is activated (1: Yes, O: No)",
Load_StatusApplianceOven,Loads,Kitchen,Status_OnOff,"Number to indicate whether oven is activated (1: Yes, O: No)",
Load_StatusApplianceRangeHood,Loads,Kitchen,Status_OnOff,"Number to indicate whether range hood is activated (1: Yes, O: No)",
Load_StatusLatentload,Loads,Kitchen,Status_OnOff,"Number to indicate whether moisture generator is activated (1: Yes, O: No)",
Load_StatusPlugLoadBlender,Loads,Kitchen,Status_OnOff,"Number to indicate whether blender is activated (1: Yes, O: No)",
Load_StatusPlugLoadBR2Laptop,Loads,Bedroom2,Status_OnOff,"Number to indicate whether laptop computer in bedroom 2 is activated (1: Yes, O: No)",
Load_StatusPlugLoadBR3Laptop,Loads,Bedroom3,Status_OnOff,"Number to indicate whether laptop computer in bedroom 3 is activated (1: Yes, O: No)",
Load_StatusPlugLoadCanOpener,Loads,Kitchen,Status_OnOff,"Number to indicate whether can opener is activated (1: Yes, O: No)",
Load_StatusPlugLoadCoffeeMaker,Loads,Kitchen,Status_OnOff,"Number to indicate whether coffee maker is activated (1: Yes, O: No)",
Load_StatusPlugLoadDesktopPCMonitor,Loads,Bedroom4,Status_OnOff,"Number to indicate whether desktop computer and monitor in first floor bedroom is activated (1: Yes, O: No)",
Load_StatusPlugLoadFan,Loads,Master Bedroom,Status_OnOff,"Number to indicate whether fan in master bedroom is activated (1: Yes, O: No)",
Load_StatusPlugLoadHairDryerCurlIron,Loads,MBath,Status_OnOff,"Number to indicate whether hair dryer or curling iron is activated (1: Yes, O: No)",
Load_StatusPlugLoadHandMixer,Loads,Kitchen,Status_OnOff,"Number to indicate whether hand mixer is activated (1: Yes, O: No)",
Load_StatusPlugLoadHeatingPad,Loads,Master Bedroom,Status_OnOff,"Number to indicate whether heating pad is activated (1: Yes, O: No)",
Load_StatusPlugLoadIron,Loads,Master Bedroom,Status_OnOff,"Number to indicate whether iron is activated (1: Yes, O: No)",
Load_StatusPlugLoadLRBlueRay,Loads,Living Room,Status_OnOff,"Number to indicate whether BluRay player in living room is activated (1: Yes, O: No)",
Load_StatusPlugLoadLRTV,Loads,Living Room,Status_OnOff,"Number to indicate whether television in living room is activated (1: Yes, O: No)",
Load_StatusPlugLoadMBRBlueRay,Loads,Master Bedroom,Status_OnOff,"Number to indicate whether BluRay player in master bedroom is activated (1: Yes, O: No)",
Load_StatusPlugLoadMBRTV,Loads,Master Bedroom,Status_OnOff,"Number to indicate whether television in master bedroom is activated (1: Yes, O: No)",
Load_StatusPlugLoadSlowCooker,Loads,Kitchen,Status_OnOff,"Number to indicate whether slow cooker is activated (1: Yes, O: No)",
Load_StatusPlugLoadToaster,Loads,Kitchen,Status_OnOff,"Number to indicate whether toaster is activated (1: Yes, O: No)",
Load_StatusPlugLoadToasterOven,Loads,Kitchen,Status_OnOff,"Number to indicate whether toaster oven is activated (1: Yes, O: No)",
Load_StatusPlugLoadVacuum,Loads,Bedroom4,Status_OnOff,"Number to indicate whether vacuum is activated (1: Yes, O: No)",
Load_StatusPlugLoadVideoGame,Loads,Living Room,Status_OnOff,"Number to indicate whether video game console in living room is activated (1: Yes, O: No)",
Load_StatusBR4Lights,Loads,Bedroom4,Status_OnOff,"Number to indicate whether lights in bedroom 4 are activated (1: Yes, O: No)",
Load_StatusMBALights,Loads,MBath,Status_OnOff,"Number to indicate whether lights in master bathroom are activated (1: Yes, O: No)",
Load_StatusMBRLights1,Loads,Master Bedroom,Status_OnOff,"Number to indicate whether lights A in master bedroom are activated (1: Yes, O: No)",
Load_StatusMBRLights2,Loads,Master Bedroom,Status_OnOff,"Number to indicate whether lights B in master bedroom are activated (1: Yes, O: No)",
Load_StatusBA2Lights,Loads,Bath2,Status_OnOff,"Number to indicate whether lights 2nd floor bathroom located off hallway are activated (1: Yes, O: No)",
Load_StatusBR2Lights,Loads,Bedroom2,Status_OnOff,"Number to indicate whether lights in bedroom 2 are activated (1: Yes, O: No)",
Load_StatusBA1Lights,Loads,Bath1,Status_OnOff,"Number to indicate whether lights in 1st floor bathroom are activated (1: Yes, O: No)",
Load_StatusBR3Lights,Loads,Bedroom3,Status_OnOff,"Number to indicate whether lights in bedroom 3 are activated (1: Yes, O: No)",
Load_StatusSensHeatPrntBDOWN,Loads,Dining Room,Status_OnOff,"Number to indicate whether parent B is simulated as being downstairs (1: Yes, O: No)",
Load_StatusSensHeatPrntAUP,Loads,Master Bedroom,Status_OnOff,"Number to indicate whether parent A is simulated as being upstairs (1: Yes, O: No)",
Load_StatusKitchenLightsA,Loads,Kitchen,Status_OnOff,"Number to indicate whether lights A in kitchen are activated (1: Yes, O: No)",
Load_StatusSensHeatPrntBUP,Loads,Master Bedroom,Status_OnOff,"Number to indicate whether parent B is simulated as being upstairs (1: Yes, O: No)",
Load_StatusSensHeatChildAUP,Loads,Bedroom2,Status_OnOff,"Number to indicate whether child A is simulated as being upstairs (1: Yes, O: No)",
Load_StatusSensHeatChildBUP,Loads,Bedroom3,Status_OnOff,"Number to indicate whether child B is simulated as being upstairs (1: Yes, O: No)",
Load_StatusKitchen LightsB,Loads,Kitchen,Status_OnOff,"Number to indicate whether lights B in kitchen are activated (1: Yes, O: No)",
Load_StatusSensHeatChildBDOWN,Loads,Dining Room,Status_OnOff,"Number to indicate whether child B is simulated as being downstairs (1: Yes, O: No)",
Load_StatusLRLights1,Loads,Living Room,Status_OnOff,"Number to indicate whether lights in living room are activated (1: Yes, O: No)",
Load_StatusSensHeatPrntADOWN,Loads,Kitchen,Status_OnOff,"Number to indicate whether parent A is simulated as being downstairs (1: Yes, O: No)",
Load_StatusSensHeatChildADOWN,Loads,Living Room,Status_OnOff,"Number to indicate whether child A is simulated as being downstairs (1: Yes, O: No)",
Load_StatusKitchenLightsC,Loads,Kitchen,Status_OnOff,"Number to indicate whether lights C in kitchen are activated (1: Yes, O: No)",
Load_StatusLRLights2,Loads,Living Room,Status_OnOff,"Number to indicate whether lights in living room are activated (1: Yes, O: No)",
Load_StatusDRLights,Loads,Dining Room,Status_OnOff,"Number to indicate whether lights in dining room are activated (1: Yes, O: No)",
Load_StatusLRLights3,Loads,Living Room,Status_OnOff,"Number to indicate whether lights in living room are activated (1: Yes, O: No)",
Load_StatusEntryHallLights,Loads,Entry Hallway,Status_OnOff,"Number to indicate whether lights in entry hallway are activated (1: Yes, O: No)",
OutEnv_OutdoorAmbTemp,OutEnv,Outdoor,Temp_Air,Instantaneous dry bulb temperature measured above the roof's peak,°C
OutEnv_RooftopWindDirection,OutEnv,Outdoor,Flow_Air,"Instantaneous wind direction measured above the roof's peak; 0° means wind is blowing from true north; all other readings are taken relative to clockwise from true north.  For example, 90° means wind is blowing from true east to true west.   ",degrees
OutEnv_RooftopWindSpeed,OutEnv,Outdoor,Flow_Air,Instantaneous wind speed measured above the roof's peak,m/s
Elec_EnergyPV1of2,PV,Basement,Energy_Electrical,Cumulative energy fed into breaker panel by one leg of electrical supply from PV inverters from midnight; note that energy supplied from other leg is needed to get total energy supply from inverters,Wh
Elec_EnergyPV2of2,PV,Basement,Energy_Electrical,Cumulative energy fed into breaker panel by one leg of electrical supply from PV inverters from midnight; note that energy supplied from other leg is needed to get total energy supply from inverters,Wh
Elec_PowerPV1of2,PV,Basement,Power_Electrical,Instantaneous power fed into breaker panel by one leg of electrical supply from PV inverters; note that power supplied from other leg is needed to get total power supply from inverters,W
Elec_PowerPV2of2,PV,Basement,Power_Electrical,Instantaneous power fed into breaker panel by one leg of electrical supply from PV inverters; note that power supplied from other leg is needed to get total power supply from inverters,W
PV_AmpsAIA1,PV,Attic,Current_Electrical,Instantaneous current produced from the Phase A wire from inverter 1 (AC),A
PV_AmpsAIA2,PV,Attic,Current_Electrical,Instantaneous current produced from the Phase A wire from inverter 2 (AC),A
PV_AmpsBIB1,PV,Attic,Current_Electrical,Instantaneous current produced from the Phase B wire from inverter 1 (AC),V
PV_AmpsBIB2,PV,Attic,Current_Electrical,Instantaneous current produced from the Phase B wire from inverter 2 (AC),V
PV_FrequencyF1,PV ,Attic,Frequency_Electrical,Instantaneous frequency of AC electricity output from inverter 1,Hz
PV_FrequencyF2,PV ,Attic,Frequency_Electrical,Instantaneous frequency of AC electricity output from inverter 2,Hz
PV_PowerFactor3PhTotalPF3PhT1,PV,Attic,PowerFactor_Electrical,Instantaneous power factor of electricity output from inverter 1 (Single Phase AC),
PV_PowerFactor3PhTotalPF3PhT2,PV,Attic,PowerFactor_Electrical,Instantaneous power factor of electricity output from inverter 2 (Single Phase AC),
PV_PVBacksideTemp2,PV,Outdoor,Temp_PV,"Instantaneous temperature on the backside of module at location 2 of the photovoltaic array.  Location 2 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.  ",°C
PV_PVBacksideTemp3,PV,Outdoor,Temp_PV,"Instantaneous temperature on the backside of module at location 3 of the photovoltaic array.  Location 3 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.  ",°C
PV_PVBacksideTemp4,PV,Outdoor,Temp_PV,"Instantaneous temperature on the backside of module at location 4 of the photovoltaic array.  Location 4 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.  ",°C
PV_PVBacksideTemp7,PV,Outdoor,Temp_PV,"Instantaneous temperature on the backside of module at location 7 of the photovoltaic array.  Location 7 is on the top string of the array, the west-most module of the array.  ",°C
PV_PVInsolationHArray,PV,Outdoor,Light_Solar,The amount of sunlight impacting the array during the past minute.  ,kWh
PV_PVSystem1ACEnergyOSEACPV1OS,PV,Attic,Energy_Electrical,Cumulative AC energy generation out of inverter 1 of the photovoltaic array; data collected with an inline meter.  ,Wh
PV_PVSystem1ACPowerOSPACPV1OS,PV,Attic,Power_Electrical,Instantaneous AC power reading from inverter 1 as measured by an inline meter,W
PV_PVSystem2ACEnergyOSEACPV2OS,PV,Attic,Energy_Electrical,Cumulative AC energy generation out of the inverter 2 of the photovoltaic array; data collected with an inline meter.  ,Wh
PV_PVSystem2ACPowerOSPACPV2OS,PV,Attic,Power_Electrical,Instantaneous AC power reading from inverter 1 as measured by an inline meter,W
PV_StringCurrentIStr1,PV ,Attic,Current_Electrical,Instantaneous direct current from string 1 feeding into inverter 1,A
PV_StringCurrentIStr2,PV ,Attic,Current_Electrical,Instantaneous direct current from string 2 feeding into inverter 1,A
PV_StringCurrentIStr3,PV ,Attic,Current_Electrical,Instantaneous direct current from string 3 feeding into inverter 2,A
PV_StringCurrentIStr4,PV ,Attic,Current_Electrical,Instantaneous direct current from string 4 feeding into inverter 2,A
PV_StringVoltageUStr2,PV,Attic,Voltage_Electrical,Instantaneous voltage from Strings 1 and 2 of photovoltaic array into inverter 1 (DC),V
PV_StringVoltageUStr4,PV,Attic,Voltage_Electrical,Instantaneous voltage from Strings 3 and 4 of photovoltaic array into inverter 2 (DC),V
PV_VoltsANUAN1,PV,Attic,Voltage_Electrical,Instantaneous voltage difference between the Phase A wire and the neutral wire for inverter 1 (AC),V
PV_VoltsANUAN2,PV,Attic,Voltage_Electrical,Instantaneous voltage difference between the Phase A wire and the neutral wire for inverter 2 (AC),V
PV_VoltsBNUBN1,PV,Attic,Voltage_Electrical,Instantaneous voltage difference between the Phase B wire and the neutral wire for inverter 1 (AC),V
PV_VoltsBNUBN2,PV,Attic,Voltage_Electrical,Instantaneous voltage difference between the Phase B wire and the neutral wire for inverter 2 (AC),V
PV_Watts3PhTotalW3PhT1,PV,Attic,Power_Electrical,Instantaneous power produced from Inverter 1 (1-phase AC); meter uses remotely located  current transformers,W
PV_Watts3PhTotalW3PhT2,PV,Attic,Power_Electrical,Instantaneous power produced from Inverter 2 (1-phase AC); meter uses remotely located current transformers,W
PV_WhoursDeliveredWhD1,PV,Attic,Energy_Electrical,Cumulative energy delivered by inverter 1 from beginning of operation as measured by meter using current transformers,Wh
PV_WhoursDeliveredWhD2,PV,Attic,Energy_Electrical,Cumulative energy delivered by inverter 2 from beginning of operation as measured by meter using current transformers,Wh
Elec_PowerPlugsBaseAHeliodyneHXs,SHW,Basement,Power_Electrical,Instantaneous power used by solar water heater pumps,W
SHW_GlycolFlowHXCoriolisSHW,SHW,Basement,Flow_Glycol,Cumulative volume of glycol/water solution flowing through the heat exchanger of the solar water heating system starting from midnight,Gallons
SHW_GlycolFlowRateHXCoriolisSHW,SHW,Basement,Flow_Glycol,Instantaneous flow rate of glycol/water solution flowing through the heat exchanger of the solar water heating system,Gallons Per Minute
SHW_GlycolTempSHWPanel80galOut,SHW,Outdoor,Temp_Glycol,Instantaneous temperature of glycol/water solution leaving solar panel on roof; temperature is measured with a surface RTD mounted on the surface of the pipe and wrapped in insulation  ,°C
SHW_PSPSHW,SHW,Outdoor,Light_Solar,Solar broadband insolation measured adjacent to and in the plane of the solar thermal collectors,W/m2
SHW_SHWHX80galWaterFlow,SHW,Basement,Flow_Water,Cumulative volume of potable water flowing through the heat exchanger of the solar water heating system starting from midnight (as measured by the heat exchanger’s internal flow meter),Gallons
SHW_WaterFlowHXCoriolisSHW,SHW,Basement,Flow_Water,Cumulative volume of potable water flowing through the heat exchanger of the solar water heating system starting from midnight,Gallons
SHW_WaterFlowRateHXCoriolisSHW,SHW,Basement,Flow_Water,Instantaneous flow rate of potable water flowing through the heat exchanger of the solar water heating system,Gallons Per Minute
Elec_EnergyMakeUpAirDamper,Ventilation,Attic,Energy_Electrical,Cumulative energy consumption of make-up air damper located in attic from midnight,Wh
Elec_PowerMakeUpAirDamper,Ventilation,Attic,Power_Electrical,Instantaneous power consumption of make-up air damper located in attic ,W
Vent_HRVDewpointTemperatureExhaust,Ventilation,Basement,Temp_DewP,Instantaneous dew point temperature in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house,°C
Vent_HRVDewpointTemperatureOutdoor,Ventilation,Basement,Temp_DewP,Instantaneous dew point temperature in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house,°C
Vent_HRVDewpointTemperatureReturn,Ventilation,Basement,Temp_DewP,Instantaneous dew point temperature in the return duct inlet to the heat recovery ventilator; refers to indoor air being returned to the HRV  from the house,°C
Vent_HRVDewpointTemperatureSupply,Ventilation,Basement,Temp_DewP,Instantaneous dew point temperature in the supply duct outlet from the heat recovery ventilator; refers to outdoor air being brought into the heat recovery ventilator,°C
Vent_HRVexhaustflowrate,Ventilation,Basement,Flow_Air,Instantaneous flow rate of air in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house,ft3/min
Vent_HRVfreshairpressuredifferential,Ventilation,Basement,Pressure_Air,Instantaneous pressure differential across heat recovery ventilator of the outdoor air stream,Inches H2O
Vent_HRVoutdoorflowrate,Ventilation,Basement,Flow_Air,Instantaneous flow rate of air in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house,ft3/min
Vent_HRVreturnflowrate,Ventilation,Basement,Flow_Air,Instantaneous flow rate of air in the return flow duct entering the heat recovery ventilator; refers to indoor air being returned to HRV from the house,ft3/min
Vent_HRVstaleairpressuredifferential,Ventilation,Basement,Pressure_Air,Instantaneous pressure differential across heat recovery ventilator of the exhaust air stream,Inches H2O
Vent_HRVTempExhaustOut,Ventilation,Basement,Temp_Air,Instantaneous dry bulb temperature in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house,°C
Vent_HRVTempOutdoorin,Ventilation,Basement,Temp_Air,Instantaneous dry bulb temperature in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house,°C
Vent_HRVTempReturnIn,Ventilation,Basement,Temp_Air,Instantaneous dry bulb temperature in the return duct inlet to the heat recovery ventilator; refers to indoor air being returned to HRV from the house,°C
Vent_HRVTempSupplyOut,Ventilation,Basement,Temp_Air,Instantaneous dry bulb temperature in the supply duct outlet from the heat recovery ventilator; refers to outdoor air being brought into the heat recovery ventilator,°C
