,Data Label,Location,Description
414,TD13 (degF),,"Temp, Soil, Dry Bore 1, Column 1, Point 3"
415,TD14 (degF),,"Temp, Soil, Dry Bore 1, Column 1, Point 4"
416,TD15 (degF),,"Temp, Soil, Dry Bore 1, Column 1, Point 5"
417,TD21 (degF),,"Temp, Soil, Dry Bore 1, Column 2, Point 1"
418,TD22 (degF),,"Temp, Soil, Dry Bore 1, Column 2, Point 2"
419,TD23 (degF),,"Temp, Soil, Dry Bore 1, Column 2, Point 3"
420,TD24 (degF),,"Temp, Soil, Dry Bore 1, Column 2, Point 4"
421,TD25 (degF),,"Temp, Soil, Dry Bore 1, Column 2, Point 5"
422,TD31 (degF),,"Temp, Soil, Dry Bore 1, Column 3, Point 1"
423,TD32 (degF),,"Temp, Soil, Dry Bore 1, Column 3, Point 2"
424,TD33 (degF),,"Temp, Soil, Dry Bore 1, Column 3, Point 3"
425,TD34 (degF),,"Temp, Soil, Dry Bore 1, Column 3, Point 4"
426,TD35 (degF),,"Temp, Soil, Dry Bore 1, Column 3, Point 5"
427,TND1 (degF),,"Temp, Soil, Near Dry Bores 1 and 2, Point 1 (top most)"
428,TND2 (degF),,"Temp, Soil, Near Dry Bores 1 and 2, Point 2"
429,TND3 (degF),,"Temp, Soil, Near Dry Bores 1 and 2, Point 3"
430,TND4 (degF),,"Temp, Soil, Near Dry Bores 1 and 2, Point 4"
431,TND5 (degF),,"Temp, Soil, Near Dry Bores 1 and 2, Point 5"
432,TW11 (degF),,"Temp, Soil, Wet Bore 4, Column 1 (innermost), Point 1 (topmost)"
433,TW12 (degF),,"Temp, Soil, Wet Bore 4, Column 1, Point 2"
434,TW13 (degF),,"Temp, Soil, Wet Bore 4, Column 1, Point 3"
435,TW14 (degF),,"Temp, Soil, Wet Bore 4, Column 1, Point 4"
436,TW15 (degF),,"Temp, Soil, Wet Bore 4, Column 1, Point 5"
437,TW21 (degF),,"Temp, Soil, Wet Bore 4, Column 2, Point 1"
438,TW22 (degF),,"Temp, Soil, Wet Bore 4, Column 2, Point 2"
439,TW23 (degF),,"Temp, Soil, Wet Bore 4, Column 2, Point 3"
440,TW24 (degF),,"Temp, Soil, Wet Bore 4, Column 2, Point 4"
441,TW25 (degF),,"Temp, Soil, Wet Bore 4, Column 2, Point 5"
442,TW31 (degF),,"Temp, Soil, Wet Bore 4, Column 3, Point 1"
443,TW32 (degF),,"Temp, Soil, Wet Bore 4, Column 3, Point 2"
444,TW33 (degF),,"Temp, Soil, Wet Bore 4, Column 3, Point 3"
445,TW34 (degF),,"Temp, Soil, Wet Bore 4, Column 3, Point 4"
446,TW35 (degF),,"Temp, Soil, Wet Bore 4, Column 3, Point 5"
447,TNWB1 (degF),,"Temp, Soil, Near Wet Bores 3 and 4, Point 1 (topmost)"
448,TNWB2 (degF),,"Temp, Soil, Near Wet Bores 3 and 4, Point 2"
449,TNWB3 (degF),,"Temp, Soil, Near Wet Bores 3 and 4, Point 3"
450,TNWB4 (degF),,"Temp, Soil, Near Wet Bores 3 and 4, Point 4"
451,TNWB5 (degF),,"Temp, Soil, Near Wet Bores 3 and 4, Point 5"
452,QDHD,,Drain Heat Recovery System Energy Delivered [BTU]
453,QDHW,,Water Heating System Energy Delivered [BTU]
454,S15,,Forecasted Skycover [%]
455,S16,,Next Day's Predicted Max Temp [degF] (Updated daily @ 8pm) (As of 10/7/15)
456,S17,,Hot water tank temperature [degF]
457,S18,,1st Floor Cooling Temperature Setpoint for HVAC [degF] (As of 9/21/15)
458,S19,,2nd Floor Cooling Temperature Setpoint for HVAC [degF] (As of 9/21/15)
459,S20,,"Calculated Max Dewpoint (1st and 2nd Floor), for HVAC [degF]"
460,SB2T,,"Status, Track Bed 2 lighting (0=off, =on)"
461,VMSA,,"Voltage, Electrical Panel A [Volts]"
462,VMSB,,"Voltage, Electrical Panel B [Volts]"
463,F1Temp,,1st Floor Temperature for HVAC control [degF] (As of 9/15/15)
464,F2Temp,,2nd Floor Temperature for HVAC control [degF] (As of 9/15/15)
465,S21,,1st Floor Heating Temperature Setpoint for HVAC [degF] (As of 9/24/15)
466,S31,,2nd Floor Heating Temperature Setpoint for HVAC [degF] (As of 9/24/15)
467,Inverter Net,,"Inverter Net (Phase A,B Positive - Negative)"
468,HVAC_Fans,,"HVAC Fans - Bath, Ceiling, WHF"
469,R&D Equip,,"R&D Equip: Datalogger, Controls, and climate control for HEMS room"
470,Lighting,,Lighting Total Interior + Exterior
471,Appliances,,"Appliances-- Fridge, Stove, Downdraft, Laundry, Dish, Micro"
472,HVAC_Pumps,,Heat Pump plus Circulator Pump Loads
473,Misc_Loads,,"MEL: Everything but appliances, R&D, Lighting, HVAC"
474,EVSE_Total,,EVSE sum of AC charger phases plus DC
